year,class_1_area_km2,class_2_area_km2,class_3_area_km2,class_4_area_km2,class_5_area_km2
2000,12400.0,119700.0,237000.0,1570600.0,6526300.0
2001,7800.0,114500.0,495300.0,3038300.0,4810100.0
2002,47600.0,324600.0,823300.0,3544900.0,3725600.0
2003,6500.0,160500.0,759100.0,3526900.0,4012800.0
2004,16700.0,130700.0,344100.0,2200900.0,5773600.0
2005,70500.0,215100.0,680900.0,2873100.0,4626400.0
2006,23700.0,195400.0,575900.0,2171300.0,5499700.0
2007,105000.0,598000.0,1411500.0,3466100.0,2885400.0
2008,24800.0,80700.0,352500.0,2116000.0,5891500.0
2009,15500.0,80200.0,272600.0,1419500.0,6678200.0
2010,149300.0,545300.0,1110400.0,3433600.0,3224300.0
2011,25700.0,87100.0,335800.0,1834300.0,6183100.0
2012,318100.0,760700.0,1415100.0,3109100.0,2862900.0
2013,11500.0,105200.0,367700.0,2163600.0,5818000.0
2014,192100.0,486200.0,822600.0,2625300.0,4338500.0
2015,657200.0,1472100.0,1840900.0,2358900.0,2135400.0
2016,24100.0,207400.0,1190600.0,4499000.0,2544900.0
2017,94900.0,521900.0,1314000.0,4165500.0,2369700.0
2018,2700.0,32700.0,422500.0,4433800.0,3574300.0
2019,172900.0,1556400.0,1763900.0,3416400.0,1555200.0
2020,650000.0,1328800.0,1683800.0,2665800.0,2129800.0
2021,309300.0,560000.0,818700.0,2668400.0,4104100.0
2022,238200.0,659800.0,1075500.0,3346800.0,3145500.0
2023,203400.0,1133900.0,2113200.0,3202800.0,1810200.0
