total_land_area_km2,drought_area_km2,year,cellCount,total_land_cell_count,drought_land_percentage
8466000.0,1939700.0,2000,16263,70870,22.91164658634538
8466000.0,3655900.0,2001,30522,70870,43.18332152137964
8466000.0,4740400.0,2002,39564,70870,55.9933853059296
8465800.0,4453000.0,2003,37179,70869,52.59987242788632
8466000.0,2692400.0,2004,22859,70870,31.802504134183796
8466000.0,3839600.0,2005,32130,70870,45.35317741554453
8466000.0,2966300.0,2006,25207,70870,35.03779825183085
8466000.0,5580600.0,2007,46759,70870,65.91778880226789
8465500.0,2574000.0,2008,21926,70866,30.4057645738586
8466000.0,1787800.0,2009,14875,70870,21.117410819749587
8462900.0,5238600.0,2010,43876,70847,61.90076687660258
8466000.0,2282900.0,2011,19297,70870,26.965509095204347
8465900.0,5603000.0,2012,46991,70869,66.18315831748544
8466000.0,2648000.0,2013,22181,70870,31.27805339003071
8464700.0,4126200.0,2014,34479,70859,48.74596855175021
8464500.0,6329100.0,2015,52492,70857,74.77228424596845
8466000.0,5921100.0,2016,49419,70870,69.93975903614458
8466000.0,6096300.0,2017,51009,70870,72.00921332388377
8466000.0,4891700.0,2018,41317,70870,57.78053390030711
8464800.0,6909600.0,2019,57916,70859,81.6274454210377
8458200.0,6328400.0,2020,53163,70805,74.81970159135514
8460500.0,4356400.0,2021,36944,70824,51.49104662844986
8465800.0,5320300.0,2022,44801,70868,62.84462189042973
8463500.0,6653300.0,2023,55501,70851,78.6116854729131
