year,class_1_pixels,class_2_pixels,class_3_pixels,class_4_pixels,class_5_pixels
2000,99,988,2032,13144,54607
2001,70,960,4151,25341,40348
2002,402,2758,6941,29463,31306
2003,60,1367,6309,29443,33690
2004,155,1200,3039,18465,48011
2005,572,1794,5649,24115,38740
2006,220,1725,4982,18280,45663
2007,867,5004,11789,29099,24111
2008,197,686,3027,18016,48940
2009,127,692,2270,11786,55995
2010,1243,4559,9241,28833,26971
2011,204,731,2846,15516,51573
2012,2629,6392,11875,26095,23878
2013,96,905,3046,18134,48689
2014,1680,4126,6909,21764,36380
2015,5392,12140,15229,19731,18365
2016,209,1726,9860,37624,21451
2017,817,4391,11003,34798,19861
2018,21,287,3588,37421,29553
2019,1475,13193,14919,28329,12943
2020,5530,11474,14049,22110,17642
2021,2678,4921,7165,22180,33880
2022,2022,5646,9176,27957,26067
2023,1684,9446,17599,26772,15350
