year,filename,driver,crs,width,height,bands,resolution_x,resolution_y,left,bottom,right,top,dtype,nodata,valid_pixels,nodata_pixels,classes_present,classes_valid,class_1_pixels,class_2_pixels,class_3_pixels,class_4_pixels,class_5_pixels,grid_matches_reference,resolution_0_1deg,size_mb,sha256
2000,spei12_dezembro_2000_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70870,105862,"1,2,3,4,5",True,99,988,2032,13144,54607,True,True,0.014179229736328125,ab5e24dee2dcad28abd2a2ee2557e6e60dabb02d0f4e4471ae94fc1aeaf9488b
2001,spei12_dezembro_2001_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70870,105862,"1,2,3,4,5",True,70,960,4151,25341,40348,True,True,0.016571044921875,b765f89aaf40c355559d03a22b05835ef8631a26fd71658e199cd6aaef676c24
2002,spei12_dezembro_2002_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70870,105862,"1,2,3,4,5",True,402,2758,6941,29463,31306,True,True,0.01774883270263672,a7a1d6e29dd4d1989e4214a705c3739898f1b578bccbe6032dd235a06b5e908d
2003,spei12_dezembro_2003_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70869,105863,"1,2,3,4,5",True,60,1367,6309,29443,33690,True,True,0.017330169677734375,7bfc07454347bcaa0b15cc521790fc13762f20d18d6a3556b5b9811a51d1b2d9
2004,spei12_dezembro_2004_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70870,105862,"1,2,3,4,5",True,155,1200,3039,18465,48011,True,True,0.015160560607910156,ad871c1f5e3888dbae3269f184232b384065e13c8e6603b2d2d45aaae909068a
2005,spei12_dezembro_2005_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70870,105862,"1,2,3,4,5",True,572,1794,5649,24115,38740,True,True,0.016943931579589844,1bb7cceef42191945b69d83b56fea6940e1860cc0a7bc31f12d3d6067ee4dc68
2006,spei12_dezembro_2006_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70870,105862,"1,2,3,4,5",True,220,1725,4982,18280,45663,True,True,0.015921592712402344,ed864236cd583991270871cc2872201fd8f877ddb3e173fd2f7584b0994b7cee
2007,spei12_dezembro_2007_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70870,105862,"1,2,3,4,5",True,867,5004,11789,29099,24111,True,True,0.01948261260986328,58ecba2e37863a15510ffec399deafd043512b4f706e89ac5d6906e8502d0b43
2008,spei12_dezembro_2008_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70866,105866,"1,2,3,4,5",True,197,686,3027,18016,48940,True,True,0.015216827392578125,ecbb41b1033d7ae3daf172f9d8ddfdfd6353652f184d11ae25ef581c28368f42
2009,spei12_dezembro_2009_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70870,105862,"1,2,3,4,5",True,127,692,2270,11786,55995,True,True,0.013048171997070312,6776e6a62862ea5d7373330d4d4e8209a3674856e2ddde5188b04569e18ecf27
2010,spei12_dezembro_2010_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70847,105885,"1,2,3,4,5",True,1243,4559,9241,28833,26971,True,True,0.01943492889404297,3092eb9d3a130fe4d2dff46e9317a2e6f6a92ccf906a1596a0be0648b44f9b9b
2011,spei12_dezembro_2011_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70870,105862,"1,2,3,4,5",True,204,731,2846,15516,51573,True,True,0.0152435302734375,98e464de2d1ef290396982f950d3b3350a6c43f98e987fa50b7c977ba114cf73
2012,spei12_dezembro_2012_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70869,105863,"1,2,3,4,5",True,2629,6392,11875,26095,23878,True,True,0.019425392150878906,c6efbc557ca3c93152ca2e2af59b0ba618a4a730fa368a8eabaafbed66dd2d13
2013,spei12_dezembro_2013_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70870,105862,"1,2,3,4,5",True,96,905,3046,18134,48689,True,True,0.015600204467773438,5d285dcb510d69b8e68c4dd29ccc3b3cc299e9a4ffddc8c2163f4b602254273f
2014,spei12_dezembro_2014_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70859,105873,"1,2,3,4,5",True,1680,4126,6909,21764,36380,True,True,0.017322540283203125,b315a43ac074215160bc4f3d07a738fc7f61a47b43b85f3ebc5404c8b4ea27ba
2015,spei12_dezembro_2015_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70857,105875,"1,2,3,4,5",True,5392,12140,15229,19731,18365,True,True,0.019698143005371094,ee5d519dbc522aababc00da2c12f7076c6b36f5fe3108530bd83e4931eb52f15
2016,spei12_dezembro_2016_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70870,105862,"1,2,3,4,5",True,209,1726,9860,37624,21451,True,True,0.018225669860839844,25ba58f778971826cec887fa776ac9e8c6d020a3396748f93eb400a552d2507f
2017,spei12_dezembro_2017_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70870,105862,"1,2,3,4,5",True,817,4391,11003,34798,19861,True,True,0.01646709442138672,b0eda97312d23c8b247b040d742047c954fcbf33a951b57034660a59ea4e109d
2018,spei12_dezembro_2018_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70870,105862,"1,2,3,4,5",True,21,287,3588,37421,29553,True,True,0.014698982238769531,93cddb58cca3e149908f9b0ea01944e4487a8227db260912789d99d90bf90102
2019,spei12_dezembro_2019_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70859,105873,"1,2,3,4,5",True,1475,13193,14919,28329,12943,True,True,0.01720714569091797,c45e3e47159e96e59d44838978a169e6c0e1ac4bc4a324ba9006127f450acbdc
2020,spei12_dezembro_2020_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70805,105927,"1,2,3,4,5",True,5530,11474,14049,22110,17642,True,True,0.01722431182861328,d04a0facfbc5cb91cd654d42ce3b5b509e5f0c7532ebcb4af75bbf2910453293
2021,spei12_dezembro_2021_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70824,105908,"1,2,3,4,5",True,2678,4921,7165,22180,33880,True,True,0.017142295837402344,86a66468f3fb1d2fa7e1c277cf0f6a69f753de5ce2da75873bb5cca4e8a9b071
2022,spei12_dezembro_2022_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70868,105864,"1,2,3,4,5",True,2022,5646,9176,27957,26067,True,True,0.01775646209716797,3990b10946a9b997c44ad546e7e3f05f31aa38dc19c320f659e3cfe7908c3dad
2023,spei12_dezembro_2023_brasil.tif,GTiff,EPSG:4326,452,391,1,0.1,0.1,-74.0,-33.800000000000004,-28.799999999999997,5.299999999999997,uint8,0.0,70851,105881,"1,2,3,4,5",True,1684,9446,17599,26772,15350,True,True,0.020038604736328125,3aba9e6ecab841c263dac0edad5ee2e5733630ea3a648c18aacd1e4c9293b6a7
