row,col,longitude,latitude,valid_years,missing_years,n_missing_years,distance_to_edge_pixels
20,227,-51.25,3.249999999999997,23,2021,1,2.23606797749979
20,228,-51.15,3.249999999999997,23,2021,1,1.4142135623730951
21,226,-51.349999999999994,3.1499999999999972,23,2021,1,3.605551275463989
21,227,-51.25,3.1499999999999972,23,2021,1,2.8284271247461903
21,228,-51.15,3.1499999999999972,23,2021,1,2.0
22,225,-51.45,3.049999999999997,23,2021,1,5.0
22,226,-51.349999999999994,3.049999999999997,23,2021,1,4.0
22,227,-51.25,3.049999999999997,23,2021,1,3.0
22,228,-51.15,3.049999999999997,23,2021,1,2.0
23,219,-52.05,2.949999999999997,23,2021,1,3.1622776601683795
23,220,-51.95,2.949999999999997,23,2021,1,4.123105625617661
23,221,-51.849999999999994,2.949999999999997,23,2021,1,5.0990195135927845
23,222,-51.75,2.949999999999997,23,2021,1,6.082762530298219
23,224,-51.55,2.949999999999997,23,2021,1,6.0
23,226,-51.349999999999994,2.949999999999997,23,2021,1,4.0
23,227,-51.25,2.949999999999997,23,2021,1,3.0
23,228,-51.15,2.949999999999997,23,2021,1,2.0
24,220,-51.95,2.849999999999997,23,2021,1,4.47213595499958
24,222,-51.75,2.849999999999997,23,2021,1,6.324555320336759
24,224,-51.55,2.849999999999997,23,2021,1,6.082762530298219
24,225,-51.45,2.849999999999997,23,2021,1,5.0990195135927845
24,226,-51.349999999999994,2.849999999999997,23,2021,1,4.123105625617661
24,227,-51.25,2.849999999999997,23,2021,1,3.1622776601683795
24,228,-51.15,2.849999999999997,23,2021,1,2.23606797749979
25,224,-51.55,2.749999999999997,23,2021,1,6.324555320336759
25,225,-51.45,2.749999999999997,23,2021,1,5.385164807134504
25,226,-51.349999999999994,2.749999999999997,23,2021,1,4.47213595499958
25,227,-51.25,2.749999999999997,23,2021,1,3.605551275463989
26,226,-51.349999999999994,2.649999999999997,23,2021,1,5.0
33,224,-51.55,1.949999999999997,23,2021,1,9.219544457292887
33,225,-51.45,1.949999999999997,23,2021,1,8.246211251235321
33,226,-51.349999999999994,1.949999999999997,23,2021,1,7.280109889280518
33,227,-51.25,1.949999999999997,23,2021,1,6.324555320336759
34,119,-62.05,1.849999999999997,23,2023,1,14.317821063276353
34,120,-61.95,1.849999999999997,23,2023,1,15.297058540778355
34,121,-61.85,1.849999999999997,23,2023,1,16.278820596099706
35,119,-62.05,1.749999999999997,23,2023,1,14.560219778561036
35,120,-61.95,1.749999999999997,23,2023,1,15.524174696260024
35,121,-61.85,1.749999999999997,23,2023,1,16.492422502470642
36,119,-62.05,1.6499999999999968,23,2023,1,14.866068747318506
36,120,-61.95,1.6499999999999968,23,2023,1,15.811388300841896
36,121,-61.85,1.6499999999999968,23,2023,1,16.76305461424021
36,122,-61.75,1.6499999999999968,23,2023,1,17.72004514666935
37,120,-61.95,1.5499999999999972,23,2023,1,16.15549442140351
43,228,-51.15,0.9499999999999966,23,2022,1,9.219544457292887
107,43,-69.65,-5.450000000000003,23,2008,1,12.649110640673518
108,43,-69.65,-5.550000000000004,23,2008,1,13.601470508735444
108,44,-69.55,-5.550000000000004,23,2008,1,13.92838827718412
108,45,-69.45,-5.550000000000004,23,2008,1,14.317821063276353
113,221,-51.849999999999994,-6.050000000000004,23,2015,1,56.859475903318
119,337,-40.25,-6.650000000000004,23,2012,1,33.24154027718932
122,214,-52.55,-6.950000000000003,23,2015,1,68.24221567329127
122,215,-52.45,-6.950000000000003,23,2015,1,67.67569726275453
123,215,-52.45,-7.050000000000004,23,2015,1,68.5054742338158
123,216,-52.349999999999994,-7.050000000000004,23,2015,1,67.95586803212802
124,165,-57.45,-7.150000000000004,22,"2022,2023",2,73.348483283569
124,214,-52.55,-7.150000000000004,23,2015,1,69.8927750200262
124,215,-52.45,-7.150000000000004,23,2015,1,69.33974329343886
124,216,-52.349999999999994,-7.150000000000004,23,2015,1,68.79680225126747
124,217,-52.25,-7.150000000000004,23,2015,1,68.26419266350405
125,216,-52.349999999999994,-7.2500000000000036,23,2015,1,69.6419413859206
125,217,-52.25,-7.2500000000000036,23,2015,1,69.1158447825099
152,113,-62.65,-9.950000000000003,23,2010,1,27.0
153,112,-62.75,-10.050000000000004,23,2010,1,26.0
153,113,-62.65,-10.050000000000004,23,2010,1,26.40075756488817
154,111,-62.85,-10.150000000000004,23,2010,1,24.698178070456937
154,112,-62.75,-10.150000000000004,23,2010,1,25.079872407968907
155,112,-62.75,-10.250000000000004,23,2010,1,24.166091947189145
155,113,-62.65,-10.250000000000004,23,2010,1,24.515301344262525
156,111,-62.85,-10.350000000000003,23,2010,1,22.847319317591726
156,112,-62.75,-10.350000000000003,23,2010,1,23.259406699226016
156,113,-62.65,-10.350000000000003,23,2010,1,23.53720459187964
156,114,-62.55,-10.350000000000003,23,2010,1,23.769728648009426
157,110,-62.95,-10.450000000000003,23,2010,1,21.540659228538015
157,111,-62.85,-10.450000000000003,23,2010,1,21.93171219946131
157,112,-62.75,-10.450000000000003,23,2010,1,22.360679774997898
157,113,-62.65,-10.450000000000003,23,2010,1,22.561028345356956
157,114,-62.55,-10.450000000000003,23,2010,1,22.80350850198276
158,109,-63.05,-10.550000000000004,23,2010,1,20.248456731316587
158,110,-62.95,-10.550000000000004,23,2010,1,20.615528128088304
158,111,-62.85,-10.550000000000004,23,2010,1,21.02379604162864
158,112,-62.75,-10.550000000000004,23,2010,1,21.37755832643195
158,113,-62.65,-10.550000000000004,23,2010,1,21.587033144922902
158,114,-62.55,-10.550000000000004,23,2010,1,21.840329667841555
159,181,-55.849999999999994,-10.650000000000004,23,2023,1,56.61271941887264
159,182,-55.75,-10.650000000000004,23,2023,1,57.42821606144492
159,183,-55.65,-10.650000000000004,23,2023,1,58.249463516842795
160,181,-55.849999999999994,-10.750000000000004,23,2023,1,56.0357029044876
160,182,-55.75,-10.750000000000004,23,2023,1,56.859475903318
160,183,-55.65,-10.750000000000004,23,2023,1,57.688820407423826
161,183,-55.65,-10.850000000000005,23,2023,1,57.14017850864661
207,184,-55.55,-15.450000000000003,23,2020,1,29.410882339705484
208,183,-55.65,-15.550000000000004,23,2020,1,28.160255680657446
208,184,-55.55,-15.550000000000004,23,2020,1,29.120439557122072
209,183,-55.65,-15.650000000000006,23,2020,1,27.892651361962706
218,170,-56.95,-16.550000000000004,23,2020,1,13.45362404707371
218,171,-56.849999999999994,-16.550000000000004,23,2020,1,14.142135623730951
219,168,-57.15,-16.650000000000006,23,2020,1,11.40175425099138
219,169,-57.05,-16.650000000000006,23,2020,1,12.041594578792296
219,170,-56.95,-16.650000000000006,23,2020,1,12.727922061357855
219,171,-56.849999999999994,-16.650000000000006,23,2020,1,13.45362404707371
219,172,-56.75,-16.650000000000006,23,2020,1,14.212670403551895
219,173,-56.65,-16.650000000000006,23,2020,1,15.0
219,174,-56.55,-16.650000000000006,23,2020,1,15.811388300841896
219,175,-56.45,-16.650000000000006,23,2020,1,16.64331697709324
220,168,-57.15,-16.750000000000004,23,2020,1,10.63014581273465
220,169,-57.05,-16.750000000000004,23,2020,1,11.313708498984761
220,170,-56.95,-16.750000000000004,23,2020,1,12.041594578792296
220,171,-56.849999999999994,-16.750000000000004,23,2020,1,12.806248474865697
220,172,-56.75,-16.750000000000004,23,2020,1,13.601470508735444
220,173,-56.65,-16.750000000000004,23,2020,1,14.422205101855956
220,174,-56.55,-16.750000000000004,23,2020,1,15.264337522473747
220,175,-56.45,-16.750000000000004,23,2020,1,16.1245154965971
221,168,-57.15,-16.850000000000005,23,2020,1,9.899494936611665
221,169,-57.05,-16.850000000000005,23,2020,1,10.63014581273465
221,170,-56.95,-16.850000000000005,23,2020,1,11.40175425099138
221,171,-56.849999999999994,-16.850000000000005,23,2020,1,12.206555615733702
221,172,-56.75,-16.850000000000005,23,2020,1,13.038404810405298
221,173,-56.65,-16.850000000000005,23,2020,1,13.892443989449804
221,174,-56.55,-16.850000000000005,23,2020,1,14.7648230602334
221,175,-56.45,-16.850000000000005,23,2020,1,15.652475842498529
221,176,-56.349999999999994,-16.850000000000005,23,2020,1,16.55294535724685
222,168,-57.15,-16.950000000000003,23,2020,1,9.219544457292887
222,169,-57.05,-16.950000000000003,23,2020,1,10.0
222,170,-56.95,-16.950000000000003,23,2020,1,10.816653826391969
222,171,-56.849999999999994,-16.950000000000003,23,2020,1,11.661903789690601
222,172,-56.75,-16.950000000000003,23,2020,1,12.529964086141668
222,173,-56.65,-16.950000000000003,23,2020,1,13.416407864998739
222,174,-56.55,-16.950000000000003,23,2020,1,14.317821063276353
222,175,-56.45,-16.950000000000003,23,2020,1,15.231546211727817
223,168,-57.15,-17.050000000000004,23,2020,1,8.602325267042627
223,169,-57.05,-17.050000000000004,23,2020,1,9.433981132056603
223,170,-56.95,-17.050000000000004,23,2020,1,10.295630140987
223,171,-56.849999999999994,-17.050000000000004,23,2020,1,11.180339887498949
223,172,-56.75,-17.050000000000004,23,2020,1,12.083045973594572
223,173,-56.65,-17.050000000000004,23,2020,1,13.0
223,174,-56.55,-17.050000000000004,22,"2019,2020",2,13.892443989449804
223,175,-56.45,-17.050000000000004,22,"2019,2020",2,14.7648230602334
224,169,-57.05,-17.150000000000006,23,2020,1,8.94427190999916
224,170,-56.95,-17.150000000000006,23,2020,1,9.848857801796104
224,171,-56.849999999999994,-17.150000000000006,23,2020,1,10.770329614269007
224,172,-56.75,-17.150000000000006,23,2020,1,11.661903789690601
224,173,-56.65,-17.150000000000006,23,2020,1,12.529964086141668
224,174,-56.55,-17.150000000000006,22,"2019,2020",2,13.416407864998739
224,175,-56.45,-17.150000000000006,22,"2019,2020",2,14.317821063276353
225,171,-56.849999999999994,-17.250000000000004,23,2020,1,10.295630140987
225,172,-56.75,-17.250000000000004,23,2020,1,11.180339887498949
225,173,-56.65,-17.250000000000004,23,2020,1,12.083045973594572
225,174,-56.55,-17.250000000000004,22,"2019,2020",2,13.0
225,175,-56.45,-17.250000000000004,23,2020,1,13.92838827718412
226,173,-56.65,-17.350000000000005,23,2020,1,11.704699910719626
226,174,-56.55,-17.350000000000005,22,"2019,2020",2,12.649110640673518
226,175,-56.45,-17.350000000000005,23,2020,1,13.601470508735444
244,251,-48.849999999999994,-19.150000000000006,23,2021,1,54.56189146281496
244,252,-48.75,-19.150000000000006,23,2021,1,54.12947441089743
277,287,-45.25,-22.450000000000003,23,2014,1,9.219544457292887
278,281,-45.849999999999994,-22.550000000000004,23,2014,1,12.041594578792296
278,286,-45.349999999999994,-22.550000000000004,23,2014,1,9.219544457292887
279,266,-47.349999999999994,-22.650000000000006,23,2021,1,16.55294535724685
279,272,-46.75,-22.650000000000006,22,"2014,2015",2,13.892443989449804
279,302,-43.75,-22.650000000000006,23,2014,1,3.0
280,272,-46.75,-22.750000000000004,22,"2014,2015",2,13.038404810405298
280,301,-43.849999999999994,-22.750000000000004,23,2014,1,2.0
286,241,-49.849999999999994,-23.350000000000005,21,"2019,2020,2021",3,26.248809496813376
286,242,-49.75,-23.350000000000005,22,"2019,2021",2,25.495097567963924
287,240,-49.95,-23.450000000000003,22,"2019,2020",2,26.40075756488817
287,241,-49.849999999999994,-23.450000000000003,23,2021,1,25.612496949731394
287,242,-49.75,-23.450000000000003,21,"2014,2019,2021",3,24.839484696748443
287,261,-47.849999999999994,-23.450000000000003,23,2014,1,12.727922061357855
288,240,-49.95,-23.550000000000004,21,"2019,2020,2021",3,25.80697580112788
288,241,-49.849999999999994,-23.550000000000004,23,2021,1,25.0
288,242,-49.75,-23.550000000000004,23,2021,1,24.20743687382041
288,253,-48.65,-23.550000000000004,23,2021,1,16.401219466856727
288,261,-47.849999999999994,-23.550000000000004,23,2014,1,12.041594578792296
288,262,-47.75,-23.550000000000004,23,2014,1,11.313708498984761
289,242,-49.75,-23.650000000000006,23,2021,1,23.600847442411894
289,253,-48.65,-23.650000000000006,23,2021,1,15.620499351813308
289,280,-45.95,-23.650000000000006,22,"2003,2010",2,2.0
