system:index,AREA_KM2,CD_MUN,CD_REGIAO,CD_RGI,CD_RGINT,CD_UF,NM_MUN,NM_REGIAO,NM_RGI,NM_RGINT,NM_UF,SIGLA_RG,SIGLA_UF,class_balance,class_balance_abs,drought_classes_exposed,exposed_pct_reference,exposure_balance,exposure_balance_abs,municipal_mesh,municipal_mesh_year,pct_class_1_extreme,pct_class_2_severe,pct_class_3_moderate,pct_class_4_weak,pct_class_5_normal,percentage_denominator,period,population_class_1,population_class_2,population_class_3,population_class_4,population_class_5,population_exposed,population_reference,population_reference_positive,population_reference_rule,sex,territorial_interpretation,.geo
00000000000000000640,8834.832,1200401,1,120001,1201,12,Rio Branco,Norte,Rio Branco,Rio Branco,Acre,N,AC,0.0,0.0,1-4,99.57019412947095,0.0,0.0,IBGE/MUNICIPIOS/V2025,2025,0.0,0.0848128170440092,0.5801750566904894,98.90520625573645,0.4298058705290426,population_reference,2000-2003,0.0,227.56876798126768,1556.718989725419,265381.30342813506,1153.25013171838,267165.59118584177,268318.8413175602,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005bc,2603.942,1200807,1,120001,1201,12,Porto Acre,Norte,Rio Branco,Rio Branco,Acre,N,AC,3.637978807091713E-12,3.637978807091713E-12,1-4,99.14782369849756,3.637978807091713E-12,3.637978807091713E-12,IBGE/MUNICIPIOS/V2025,2025,0.0,49.27707298193817,44.82764976036132,5.043100956198043,0.8521763015024294,population_reference,2000-2003,0.0,5867.685089412258,5337.868427953883,600.5090500389553,101.47319788472586,11806.0625674051,11907.535765289827,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000620,1952.531,1200385,1,120001,1201,12,Plácido de Castro,Norte,Rio Branco,Rio Branco,Acre,N,AC,-9.094947017729282E-13,9.094947017729282E-13,1-4,36.4847045910628,0.0,0.0,IBGE/MUNICIPIOS/V2025,2025,0.0,0.0,0.0,36.4847045910628,63.51529540893721,population_reference,2000-2003,0.0,0.0,0.0,2979.8386515273914,5187.525412199537,2979.8386515273914,8167.364063726927,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000632,2320.956,1200450,1,120001,1201,12,Senador Guiomard,Norte,Rio Branco,Rio Branco,Acre,N,AC,3.637978807091713E-12,3.637978807091713E-12,1-4,90.8619816485131,0.0,0.0,IBGE/MUNICIPIOS/V2025,2025,0.0,3.755716376783708,3.2885183170398435,83.81774695468953,9.138018351486888,population_reference,2000-2003,0.0,741.8929610495325,649.6040560399375,16557.10661782388,1805.0967679075102,17948.60363491335,19753.700402820865,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000074d,1705.236,1200179,1,120001,1201,12,Capixaba,Norte,Rio Branco,Rio Branco,Acre,N,AC,0.0,0.0,1-4,7.146100662006679,0.0,0.0,IBGE/MUNICIPIOS/V2025,2025,0.0,0.0,0.0,7.146100662006679,92.85389933799333,population_reference,2000-2003,0.0,0.0,0.0,388.29335644408303,5045.346257793415,388.29335644408303,5433.639614237498,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000075e,3035.547,1200138,1,120001,1201,12,Bujari,Norte,Rio Branco,Rio Branco,Acre,N,AC,0.0,0.0,1-4,71.30272628460878,0.0,0.0,IBGE/MUNICIPIOS/V2025,2025,0.0,0.0,0.014682473733599433,71.2880438108752,28.69727371539121,population_reference,2000-2003,0.0,0.0,0.9135937293224475,4435.785888875088,1785.6425143833037,4436.69948260441,6222.341996987714,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017a,4968.527,1200054,1,120002,1201,12,Assis Brasil,Norte,Brasiléia,Rio Branco,Acre,N,AC,0.0,0.0,1-4,100.0,0.0,0.0,IBGE/MUNICIPIOS/V2025,2025,0.0,0.0,0.0,100.0,0.0,population_reference,2000-2003,0.0,0.0,0.0,3368.650768565832,0.0,3368.650768565832,3368.650768565832,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000064c,1652.715,1200252,1,120002,1201,12,Epitaciolândia,Norte,Brasiléia,Rio Branco,Acre,N,AC,0.0,0.0,1-4,100.0,0.0,0.0,IBGE/MUNICIPIOS/V2025,2025,4.5477276094368895,94.4581155366108,0.9941568539523296,0.0,0.0,population_reference,2000-2003,482.14023471619555,10014.244894783875,105.39835717395609,0.0,0.0,10601.783486674025,10601.783486674025,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000693,5350.3,1200708,1,120002,1201,12,Xapuri,Norte,Brasiléia,Rio Branco,Acre,N,AC,1.8189894035458565E-12,1.8189894035458565E-12,1-4,99.99247958932334,1.8189894035458565E-12,1.8189894035458565E-12,IBGE/MUNICIPIOS/V2025,2025,30.253312675170807,60.84490704271296,3.0033338095336815,5.8909260619058825,0.007520410676661471,population_reference,2000-2003,3693.6502587772707,7428.601590067916,366.67933928051986,719.2277026526841,0.9181727350062883,12208.158890778392,12209.077063513398,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000073d,3928.821,1200104,1,120002,1201,12,Brasiléia,Norte,Brasiléia,Rio Branco,Acre,N,AC,-1.8189894035458565E-12,1.8189894035458565E-12,1-4,90.68833894844359,-1.8189894035458565E-12,1.8189894035458565E-12,IBGE/MUNICIPIOS/V2025,2025,0.0,70.74597989153364,0.4741806745469252,19.468178382363018,9.31166105155642,population_reference,2000-2003,0.0,11151.543815814422,74.74412789150279,3068.7290582145615,1467.7780472282461,14295.017001920485,15762.795049148732,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000178,6144.95,1200435,1,120003,1201,12,Santa Rosa do Purus,Norte,Sena Madureira,Rio Branco,Acre,N,AC,0.0,0.0,1-4,82.29736729017313,-4.547473508864641E-13,4.547473508864641E-13,IBGE/MUNICIPIOS/V2025,2025,0.0,0.0,12.223183671461,70.07418361871215,17.702632709826858,population_reference,2000-2003,0.0,0.0,304.3547060507687,1744.8324536607024,440.7918361976213,2049.1871597114705,2489.978995909092,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000179,23748.843,1200500,1,120003,1201,12,Sena Madureira,Norte,Sena Madureira,Rio Branco,Acre,N,AC,0.0,0.0,1-4,10.123978462078883,0.0,0.0,IBGE/MUNICIPIOS/V2025,2025,0.0,0.044554974519811906,1.2411743771867652,8.838249110372306,89.87602153792112,population_reference,2000-2003,0.0,13.648588290162168,380.21070044575845,2707.433336309602,27531.848651004715,3101.2926250455225,30633.14127605024,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017b,10615.134,1200344,1,120003,1201,12,Manoel Urbano,Norte,Sena Madureira,Rio Branco,Acre,N,AC,9.094947017729282E-13,9.094947017729282E-13,1-4,100.0,9.094947017729282E-13,9.094947017729282E-13,IBGE/MUNICIPIOS/V2025,2025,0.0,0.0,90.64723484608864,9.35276515391136,0.0,population_reference,2000-2003,0.0,0.0,5823.67477124455,600.8728513416863,0.0,6424.547622586238,6424.547622586238,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000628,8185.635,1200351,1,120004,1202,12,Marechal Thaumaturgo,Norte,Cruzeiro do Sul,Cruzeiro do Sul,Acre,N,AC,1.8189894035458565E-12,1.8189894035458565E-12,1-4,100.0,1.8189894035458565E-12,1.8189894035458565E-12,IBGE/MUNICIPIOS/V2025,2025,0.0,0.30564079654087023,89.13117454327342,10.563184660185701,0.0,population_reference,2000-2003,0.0,29.253766942965253,8531.003180699452,1011.0330352553474,0.0,9571.289982897766,9571.289982897766,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062b,5414.073,1200336,1,120004,1202,12,Mâncio Lima,Norte,Cruzeiro do Sul,Cruzeiro do Sul,Acre,N,AC,1.8189894035458565E-12,1.8189894035458565E-12,1-4,3.2661081446833697,0.0,0.0,IBGE/MUNICIPIOS/V2025,2025,0.0,0.0,0.0,3.2661081446833697,96.73389185531663,population_reference,2000-2003,0.0,0.0,0.0,381.22471320510397,11290.915225751554,381.22471320510397,11672.13993895666,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000639,3082.396,1200427,1,120004,1202,12,Rodrigues Alves,Norte,Cruzeiro do Sul,Cruzeiro do Sul,Acre,N,AC,0.0,0.0,1-4,1.536114860789083,2.842170943040401E-14,2.842170943040401E-14,IBGE/MUNICIPIOS/V2025,2025,0.0,0.0,1.1585796088204519,0.37753525196863114,98.46388513921093,population_reference,2000-2003,0.0,0.0,100.44828007576041,32.73211995058928,8536.770228401045,133.1804000263497,8669.950628427394,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000645,6452.756,1200393,1,120004,1202,12,Porto Walter,Norte,Cruzeiro do Sul,Cruzeiro do Sul,Acre,N,AC,9.094947017729282E-13,9.094947017729282E-13,1-4,14.997317427993398,0.0,0.0,IBGE/MUNICIPIOS/V2025,2025,0.0,0.0,0.0,14.997317427993398,85.00268257200659,population_reference,2000-2003,0.0,0.0,0.0,899.0260206316136,5095.552842875851,899.0260206316136,5994.578863507465,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000065f,8793.341,1200203,1,120004,1202,12,Cruzeiro do Sul,Norte,Cruzeiro do Sul,Cruzeiro do Sul,Acre,N,AC,-1.4551915228366852E-11,1.4551915228366852E-11,1-4,11.43181564077608,0.0,0.0,IBGE/MUNICIPIOS/V2025,2025,0.0,0.0,2.775284609263861E-4,11.431538112315152,88.56818435922393,population_reference,2000-2003,0.0,0.0,0.1921406186027132,7914.369564652805,61318.20021087604,7914.561705271408,69232.76191614744,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000062f,5346.443,1200328,1,120005,1202,12,Jordão,Norte,Tarauacá,Cruzeiro do Sul,Acre,N,AC,0.0,0.0,1-4,100.0,0.0,0.0,IBGE/MUNICIPIOS/V2025,2025,0.0,11.611575243262767,73.37009555899948,15.018329197737751,0.0,population_reference,2000-2003,0.0,569.8990604405163,3601.0229144203013,737.1034093021234,0.0,4908.025384162941,4908.025384162941,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000066b,27946.684,1200302,1,120005,1202,12,Feijó,Norte,Tarauacá,Cruzeiro do Sul,Acre,N,AC,-7.275957614183426E-12,7.275957614183426E-12,1-4,90.29871756516131,-7.275957614183426E-12,7.275957614183426E-12,IBGE/MUNICIPIOS/V2025,2025,0.004052844348599539,2.3416528191319603,3.1056748460667345,84.84733705561403,9.70128243483868,population_reference,2000-2003,1.143795541476678,660.8623040593558,876.4849416027741,23945.653344401257,2737.90025995171,25484.144385604857,28222.04464555657,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000688,20169.487,1200609,1,120005,1202,12,Tarauacá,Norte,Tarauacá,Cruzeiro do Sul,Acre,N,AC,0.0,0.0,1-4,98.3579134393743,-3.637978807091713E-12,3.637978807091713E-12,IBGE/MUNICIPIOS/V2025,2025,0.9163957179665915,0.5081656626716672,3.595128849113527,93.33822320962253,1.642086560625683,population_reference,2000-2003,260.2736227965372,144.328607621429,1021.0842233695772,26509.811235331355,466.38347353684753,27935.497689118896,28401.881162655747,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000148,25027.907,1303536,1,130001,1301,13,Presidente Figueiredo,Norte,Manaus,Manaus,Amazonas,N,AM,0.0,0.0,1-4,100.0,0.0,0.0,IBGE/MUNICIPIOS/V2025,2025,0.0,0.0,16.72404715733837,83.27595284266162,0.0,population_reference,2000-2003,0.0,0.0,3220.9303476159885,16038.345336754892,0.0,19259.27568437088,19259.27568437088,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,108700.19,1303809,1,130002,1301,13,São Gabriel da Cachoeira,Norte,São Gabriel da Cachoeira,Manaus,Amazonas,N,AM,7.275957614183426E-12,7.275957614183426E-12,1-4,25.78602747448697,0.0,0.0,IBGE/MUNICIPIOS/V2025,2025,0.0,2.7959017099011536,3.655086395409368,19.335039369176453,74.213972525513,population_reference,2000-2003,0.0,803.1038931547452,1049.8988943620577,5553.859542592739,21317.462645647134,7406.862330109541,28724.32497575668,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a,62470.219,1303601,1,130002,1301,13,Santa Isabel do Rio Negro,Norte,São Gabriel da Cachoeira,Manaus,Amazonas,N,AM,0.0,0.0,1-4,94.9951559765468,0.0,0.0,IBGE/MUNICIPIOS/V2025,2025,0.0,1.8680182559329863,69.89353038979841,23.23360733081539,5.0048440234532015,population_reference,2000-2003,0.0,221.47465266833316,8286.667069596086,2754.606437855591,593.3807596542276,11262.74816012001,11856.128919774239,1,mean_of_critical_years,total,historical_raster_aggregated_to_2025_mesh,"{""type"":""MultiPoint"",""coordinates"":[]}"
